project_id,project_name,gc_name,risk_level,main_issue,realized_margin_pct,cost_vs_budget,billing_gap_pct,approved_co_pct,rejected_co_pct,total_rfis,labor_burn_ratio,labor_avg_pct_overrun,material_avg_pct_overrun,management_cause,evidence,recommended_action,severity
PRJ-2019-098,Baltimore Unified School District - HVAC Modernization,Turner Construction,MEDIUM,Underbilling / Financial Loss,0.104,0.637,0.11,0.116,0.038,37,0.507,0.0,0.0,Unrecovered change orders,Rejected COs are 3.8% of original contract,Require tighter approval before extra work proceeds,High
PRJ-2022-374,Houston Colocation Facility - HVAC,JE Dunn,MEDIUM,Underbilling / Financial Loss,0.106,0.893,0.196,0.236,0.026,53,0.895,0.055,0.08,Billing / collections,Billing gap is 19.6% of adjusted contract,"Accelerate billing, closeout, and collections follow-up",High
PRJ-2022-353,Atlanta Elementary Campus - Climate Systems,DPR Construction,LOW,Underbilling / Financial Loss,0.106,0.627,0.092,0.094,0.038,51,0.46,0.0,0.0,Unrecovered change orders,Rejected COs are 3.8% of original contract,Require tighter approval before extra work proceeds,High
PRJ-2021-254,Baltimore Edge Data Center - Thermal Management,Mortenson,LOW,Underbilling / Financial Loss,0.108,0.668,0.086,0.086,0.046,53,0.515,0.0,0.005,Unrecovered change orders,Rejected COs are 4.6% of original contract,Require tighter approval before extra work proceeds,High
PRJ-2020-232,Minneapolis Corporate Campus - HVAC Systems,JE Dunn,LOW,Underbilling / Financial Loss,0.108,0.68,0.085,0.085,0.071,59,0.534,0.0,0.029,Unrecovered change orders,Rejected COs are 7.1% of original contract,Require tighter approval before extra work proceeds,High
PRJ-2018-019,Oklahoma City Edge Data Center - Thermal Management,Mortenson,LOW,"Execution Inefficiency, Change Order Failure",0.108,0.659,0.099,0.102,0.092,66,0.433,0.0,0.034,Unrecovered change orders,Rejected COs are 9.2% of original contract,Require tighter approval before extra work proceeds,High
PRJ-2018-044,Oklahoma City Cloud Campus Phase 1 - Cooling,Mortenson,LOW,Underbilling / Financial Loss,0.111,0.684,0.095,0.098,0.054,52,0.452,0.0,0.028,Unrecovered change orders,Rejected COs are 5.4% of original contract,Require tighter approval before extra work proceeds,High
PRJ-2021-264,Boston Edge Data Center - Thermal Management,Turner Construction,LOW,"Execution Inefficiency, Change Order Failure",0.112,0.615,0.111,0.118,0.106,82,0.386,0.0,0.0,Unrecovered change orders,Rejected COs are 10.6% of original contract,Require tighter approval before extra work proceeds,High
PRJ-2018-020,Chicago Mixed-Income Housing - Climate Control,Mortenson,MEDIUM,Underbilling / Financial Loss,0.115,0.732,0.156,0.176,0.024,56,0.526,0.0,0.029,Billing / collections,Billing gap is 15.6% of adjusted contract,"Accelerate billing, closeout, and collections follow-up",High
PRJ-2020-220,Portland Apartment Complex - MEP,Skanska USA,LOW,"Execution Inefficiency, Change Order Failure",0.116,0.644,0.086,0.087,0.067,71,0.381,0.0,0.03,Unrecovered change orders,Rejected COs are 6.7% of original contract,Require tighter approval before extra work proceeds,High
PRJ-2018-077,Minneapolis Mixed-Use Tower - Mechanical,Turner Construction,MEDIUM,Underbilling / Financial Loss,0.119,0.762,0.14,0.155,0.065,44,0.609,0.0,0.093,Unrecovered change orders,Rejected COs are 6.5% of original contract,Require tighter approval before extra work proceeds,High
PRJ-2022-328,Richmond High School - New Construction,DPR Construction,LOW,Change Order Failure,0.119,0.543,0.082,0.082,0.101,61,0.275,0.0,0.0,Unrecovered change orders,Rejected COs are 10.1% of original contract,Require tighter approval before extra work proceeds,High
PRJ-2020-183,Kansas City Elementary Campus - Climate Systems,Turner Construction,LOW,Execution Inefficiency,0.124,0.685,0.14,0.156,0.034,54,0.577,0.0,0.0,Unrecovered change orders,Rejected COs are 3.4% of original contract,Require tighter approval before extra work proceeds,High
PRJ-2019-130,Columbus Senior Living - HVAC Upgrade,Turner Construction,MEDIUM,Underbilling / Financial Loss,0.126,0.763,0.185,0.217,0.008,95,0.63,0.0,0.063,Billing / collections,Billing gap is 18.5% of adjusted contract,"Accelerate billing, closeout, and collections follow-up",High
PRJ-2019-138,Albuquerque Elementary Campus - Climate Systems,Turner Construction,LOW,Execution Inefficiency,0.126,0.683,0.179,0.21,0.0,60,0.567,0.0,0.0,Billing / collections,Billing gap is 17.9% of adjusted contract,"Accelerate billing, closeout, and collections follow-up",High
PRJ-2018-034,Boston Colocation Facility - HVAC,DPR Construction,LOW,Execution Inefficiency,0.13,0.726,0.092,0.095,0.041,76,0.487,0.0,0.111,Unrecovered change orders,Rejected COs are 4.1% of original contract,Require tighter approval before extra work proceeds,High
PRJ-2021-301,Richmond Regional Medical Center - HVAC Upgrade,Turner Construction,MEDIUM,Change Order Failure,0.136,0.632,0.049,0.044,0.063,55,0.354,0.0,0.098,Unrecovered change orders,Rejected COs are 6.3% of original contract,Require tighter approval before extra work proceeds,High
PRJ-2018-006,Kansas City Hospital - Mechanical Systems Renovation,JE Dunn,LOW,Underbilling / Financial Loss,0.141,0.663,0.115,0.122,0.056,43,0.394,0.0,0.055,Unrecovered change orders,Rejected COs are 5.6% of original contract,Require tighter approval before extra work proceeds,High
PRJ-2021-278,Boston Middle School - HVAC Systems,Skanska USA,LOW,Underbilling / Financial Loss,0.144,0.595,0.098,0.101,0.044,57,0.396,0.0,0.0,Unrecovered change orders,Rejected COs are 4.4% of original contract,Require tighter approval before extra work proceeds,High
PRJ-2021-242,Sacramento Office Park - Core & Shell MEP,Turner Construction,LOW,Underbilling / Financial Loss,0.145,0.625,0.114,0.121,0.057,97,0.38,0.0,0.02,Unrecovered change orders,Rejected COs are 5.7% of original contract,Require tighter approval before extra work proceeds,High
PRJ-2021-309,Portland Colocation Facility - HVAC,Turner Construction,LOW,Execution Inefficiency,0.151,0.572,0.128,0.139,0.055,54,0.338,0.0,0.0,Unrecovered change orders,Rejected COs are 5.5% of original contract,Require tighter approval before extra work proceeds,High
PRJ-2018-062,Chicago Business Center - MEP Systems,Turner Construction,LOW,"Execution Inefficiency, Change Order Failure",0.152,0.636,0.096,0.099,0.058,60,0.377,0.0,0.047,Unrecovered change orders,Rejected COs are 5.8% of original contract,Require tighter approval before extra work proceeds,High
PRJ-2021-245,Phoenix Residential Tower - HVAC Systems,Mortenson,LOW,Underbilling / Financial Loss,0.153,0.535,0.132,0.143,0.043,39,0.24,0.0,0.0,Unrecovered change orders,Rejected COs are 4.3% of original contract,Require tighter approval before extra work proceeds,High
PRJ-2023-391,Pittsburgh Regional Medical Center - HVAC Upgrade,Mortenson,LOW,Underbilling / Financial Loss,0.153,0.668,0.203,0.247,0.027,97,0.507,0.0,0.0,Billing / collections,Billing gap is 20.3% of adjusted contract,"Accelerate billing, closeout, and collections follow-up",High
PRJ-2021-267,Raleigh Corporate Campus - HVAC Systems,JE Dunn,MEDIUM,Execution Inefficiency,0.154,0.729,0.168,0.194,0.014,84,0.623,0.0,0.036,Billing / collections,Billing gap is 16.8% of adjusted contract,"Accelerate billing, closeout, and collections follow-up",High
PRJ-2018-031,Kansas City Surgery Center - Climate Control,Skanska USA,LOW,Change Order Failure,0.154,0.57,0.061,0.058,0.062,81,0.151,0.0,0.0,Unrecovered change orders,Rejected COs are 6.2% of original contract,Require tighter approval before extra work proceeds,High
PRJ-2018-004,Houston Data Center - Precision Cooling Systems,JE Dunn,LOW,Underbilling / Financial Loss,0.157,0.56,0.057,0.053,0.046,55,0.303,0.0,0.009,Unrecovered change orders,Rejected COs are 4.6% of original contract,Require tighter approval before extra work proceeds,High
PRJ-2021-253,Oklahoma City Elementary Campus - Climate Systems,Turner Construction,LOW,Execution Inefficiency,0.157,0.641,0.115,0.123,0.052,62,0.467,0.0,0.0,Unrecovered change orders,Rejected COs are 5.2% of original contract,Require tighter approval before extra work proceeds,High
PRJ-2020-188,Kansas City Unified School District - HVAC Modernization,Skanska USA,MEDIUM,Underbilling / Financial Loss,0.161,0.717,0.214,0.264,0.0,65,0.635,0.0,0.0,Billing / collections,Billing gap is 21.4% of adjusted contract,"Accelerate billing, closeout, and collections follow-up",High
PRJ-2019-107,Boston Office Park - Core & Shell MEP,DPR Construction,LOW,Change Order Failure,0.161,0.572,0.048,0.043,0.066,55,0.331,0.0,0.009,Unrecovered change orders,Rejected COs are 6.6% of original contract,Require tighter approval before extra work proceeds,High
PRJ-2023-398,Denver Middle School - HVAC Systems,DPR Construction,LOW,Underbilling / Financial Loss,0.162,0.719,0.116,0.123,0.047,47,0.536,0.0,0.092,Unrecovered change orders,Rejected COs are 4.7% of original contract,Require tighter approval before extra work proceeds,High
PRJ-2021-280,Denver Apartment Complex - MEP,Turner Construction,LOW,Change Order Failure,0.165,0.669,0.05,0.047,0.056,76,0.447,0.0,0.096,Unrecovered change orders,Rejected COs are 5.6% of original contract,Require tighter approval before extra work proceeds,High
PRJ-2018-025,Portland Senior Living - HVAC Upgrade,Skanska USA,LOW,Execution Inefficiency,0.165,0.605,0.105,0.111,0.05,82,0.382,0.0,0.0,Unrecovered change orders,Rejected COs are 5.0% of original contract,Require tighter approval before extra work proceeds,High
PRJ-2018-054,Denver Edge Data Center - Thermal Management,DPR Construction,LOW,Execution Inefficiency,0.165,0.708,0.124,0.134,0.068,61,0.467,0.0,0.081,Unrecovered change orders,Rejected COs are 6.8% of original contract,Require tighter approval before extra work proceeds,High
PRJ-2022-377,Louisville Corporate Campus - HVAC Systems,JE Dunn,LOW,Underbilling / Financial Loss,0.166,0.544,0.079,0.078,0.045,60,0.263,0.0,0.0,Unrecovered change orders,Rejected COs are 4.5% of original contract,Require tighter approval before extra work proceeds,High
PRJ-2020-178,Houston High School - New Construction,DPR Construction,LOW,Change Order Failure,0.167,0.568,0.042,0.036,0.047,58,0.193,0.0,0.102,Unrecovered change orders,Rejected COs are 4.7% of original contract,Require tighter approval before extra work proceeds,High
PRJ-2018-029,Kansas City Colocation Facility - HVAC,JE Dunn,LOW,Underbilling / Financial Loss,0.17,0.673,0.186,0.22,0.003,40,0.441,0.0,0.017,Billing / collections,Billing gap is 18.6% of adjusted contract,"Accelerate billing, closeout, and collections follow-up",High
PRJ-2018-059,Atlanta Data Center - Precision Cooling Systems,DPR Construction,LOW,Change Order Failure,0.172,0.611,0.055,0.05,0.087,84,0.407,0.0,0.028,Unrecovered change orders,Rejected COs are 8.7% of original contract,Require tighter approval before extra work proceeds,High
PRJ-2022-379,Pittsburgh Data Center - Precision Cooling Systems,Mortenson,MEDIUM,Underbilling / Financial Loss,0.177,0.638,0.11,0.115,0.083,66,0.408,0.0,0.054,Unrecovered change orders,Rejected COs are 8.3% of original contract,Require tighter approval before extra work proceeds,High
PRJ-2023-385,Houston Senior Living - HVAC Upgrade,Mortenson,LOW,Underbilling / Financial Loss,0.178,0.564,0.122,0.132,0.045,49,0.338,0.0,0.0,Unrecovered change orders,Rejected COs are 4.5% of original contract,Require tighter approval before extra work proceeds,High
PRJ-2022-352,Kansas City Business Center - MEP Systems,DPR Construction,LOW,"Execution Inefficiency, Coordination Issues",0.184,0.639,0.12,0.128,0.067,98,0.403,0.0,0.053,Unrecovered change orders,Rejected COs are 6.7% of original contract,Require tighter approval before extra work proceeds,High
PRJ-2020-229,Denver Colocation Facility - HVAC,Mortenson,LOW,Underbilling / Financial Loss,0.189,0.574,0.098,0.101,0.048,53,0.354,0.0,0.0,Unrecovered change orders,Rejected COs are 4.8% of original contract,Require tighter approval before extra work proceeds,High
PRJ-2020-198,Minneapolis Elementary Campus - Climate Systems,JE Dunn,LOW,Underbilling / Financial Loss,0.191,0.551,0.114,0.122,0.036,50,0.268,0.0,0.0,Unrecovered change orders,Rejected COs are 3.6% of original contract,Require tighter approval before extra work proceeds,High
PRJ-2020-199,Cincinnati Data Center - Precision Cooling Systems,Skanska USA,LOW,Change Order Failure,0.192,0.511,0.045,0.041,0.05,58,0.188,0.0,0.01,Unrecovered change orders,Rejected COs are 5.0% of original contract,Require tighter approval before extra work proceeds,High
PRJ-2019-089,Tampa Cloud Campus Phase 1 - Cooling,Mortenson,LOW,"Execution Inefficiency, Change Order Failure",0.193,0.679,0.127,0.137,0.074,71,0.408,0.0,0.097,Unrecovered change orders,Rejected COs are 7.4% of original contract,Require tighter approval before extra work proceeds,High
PRJ-2019-087,Atlanta Mixed-Use Tower - Mechanical,Skanska USA,LOW,"Execution Inefficiency, Change Order Failure",0.199,0.603,0.081,0.081,0.044,62,0.34,0.0,0.058,Unrecovered change orders,Rejected COs are 4.4% of original contract,Require tighter approval before extra work proceeds,High
PRJ-2024-005,Harbor View Condominiums - 3 Buildings,Skanska USA,LOW,"Execution Inefficiency, Change Order Failure",0.201,0.565,0.109,0.115,0.066,51,0.311,0.0,0.0,Unrecovered change orders,Rejected COs are 6.6% of original contract,Require tighter approval before extra work proceeds,High
PRJ-2022-327,Salt Lake City Office Park - Core & Shell MEP,Turner Construction,LOW,Change Order Failure,0.207,0.525,0.089,0.09,0.059,69,0.254,0.0,0.004,Unrecovered change orders,Rejected COs are 5.9% of original contract,Require tighter approval before extra work proceeds,High
PRJ-2020-235,Oklahoma City Senior Living - HVAC Upgrade,Skanska USA,LOW,"Execution Inefficiency, Coordination Issues",0.215,0.598,0.155,0.176,0.016,99,0.356,0.0,0.0,Billing / collections,Billing gap is 15.5% of adjusted contract,"Accelerate billing, closeout, and collections follow-up",High
PRJ-2019-137,Kansas City Office Park - Core & Shell MEP,JE Dunn,LOW,Low Risk / No Clear Driver,0.217,0.497,0.133,0.145,0.043,56,0.174,0.0,0.0,Unrecovered change orders,Rejected COs are 4.3% of original contract,Require tighter approval before extra work proceeds,High
PRJ-2022-369,Louisville Edge Data Center - Thermal Management,DPR Construction,LOW,Change Order Failure,0.219,0.528,0.07,0.068,0.076,54,0.192,0.0,0.019,Unrecovered change orders,Rejected COs are 7.6% of original contract,Require tighter approval before extra work proceeds,High
PRJ-2020-227,Phoenix Mixed-Use Tower - Mechanical,Mortenson,LOW,Change Order Failure,0.221,0.541,0.06,0.056,0.083,76,0.182,0.0,0.048,Unrecovered change orders,Rejected COs are 8.3% of original contract,Require tighter approval before extra work proceeds,High
PRJ-2022-354,Las Vegas Colocation Facility - HVAC,Skanska USA,LOW,Change Order Failure,0.224,0.567,0.077,0.075,0.042,56,0.22,0.0,0.062,Unrecovered change orders,Rejected COs are 4.2% of original contract,Require tighter approval before extra work proceeds,High
PRJ-2021-247,Columbus Business Center - MEP Systems,JE Dunn,LOW,Change Order Failure,0.228,0.524,0.01,0.002,0.097,57,0.151,0.0,0.101,Unrecovered change orders,Rejected COs are 9.7% of original contract,Require tighter approval before extra work proceeds,High
PRJ-2020-215,Phoenix Residential Tower - HVAC Systems,Skanska USA,LOW,Coordination Issues,0.228,0.55,0.118,0.127,0.043,88,0.237,0.0,0.02,Unrecovered change orders,Rejected COs are 4.3% of original contract,Require tighter approval before extra work proceeds,High
PRJ-2023-387,Sacramento Office Park - Core & Shell MEP,DPR Construction,MEDIUM,Underbilling / Financial Loss,0.23,0.792,0.265,0.352,0.029,77,0.687,0.0,0.094,Billing / collections,Billing gap is 26.5% of adjusted contract,"Accelerate billing, closeout, and collections follow-up",High
PRJ-2021-257,San Antonio Office Park - Core & Shell MEP,DPR Construction,LOW,Execution Inefficiency,0.231,0.579,0.145,0.162,0.051,76,0.324,0.0,0.002,Unrecovered change orders,Rejected COs are 5.1% of original contract,Require tighter approval before extra work proceeds,High
PRJ-2021-282,Louisville Corporate Campus - HVAC Systems,Skanska USA,LOW,Coordination Issues,0.233,0.591,0.118,0.127,0.046,93,0.304,0.0,0.058,Unrecovered change orders,Rejected COs are 4.6% of original contract,Require tighter approval before extra work proceeds,High
PRJ-2019-081,Indianapolis Surgery Center - Climate Control,Turner Construction,LOW,Coordination Issues,0.234,0.508,0.086,0.088,0.032,75,0.149,0.0,0.01,Unrecovered change orders,Rejected COs are 3.2% of original contract,Require tighter approval before extra work proceeds,High
PRJ-2021-307,Columbus Mixed-Use Tower - Mechanical,Turner Construction,LOW,Coordination Issues,0.237,0.512,0.114,0.121,0.044,79,0.164,0.0,0.014,Unrecovered change orders,Rejected COs are 4.4% of original contract,Require tighter approval before extra work proceeds,High
PRJ-2021-249,Cincinnati Edge Data Center - Thermal Management,DPR Construction,LOW,Low Risk / No Clear Driver,0.24,0.508,0.112,0.119,0.035,52,0.237,0.0,0.0,Unrecovered change orders,Rejected COs are 3.5% of original contract,Require tighter approval before extra work proceeds,High
PRJ-2019-119,Albuquerque Data Center - Precision Cooling Systems,JE Dunn,LOW,Low Risk / No Clear Driver,0.242,0.535,0.122,0.131,0.044,34,0.197,0.0,0.026,Unrecovered change orders,Rejected COs are 4.4% of original contract,Require tighter approval before extra work proceeds,High
PRJ-2018-042,Columbus Office Park - Core & Shell MEP,JE Dunn,LOW,Change Order Failure,0.244,0.512,0.081,0.081,0.044,55,0.174,0.0,0.014,Unrecovered change orders,Rejected COs are 4.4% of original contract,Require tighter approval before extra work proceeds,High
PRJ-2020-196,Baltimore Surgery Center - Climate Control,Mortenson,LOW,Low Risk / No Clear Driver,0.246,0.531,0.126,0.136,0.07,62,0.187,0.0,0.036,Unrecovered change orders,Rejected COs are 7.0% of original contract,Require tighter approval before extra work proceeds,High
PRJ-2020-221,Kansas City Regional Medical Center - HVAC Upgrade,DPR Construction,LOW,Execution Inefficiency,0.247,0.608,0.147,0.165,0.033,59,0.417,0.0,0.01,Unrecovered change orders,Rejected COs are 3.3% of original contract,Require tighter approval before extra work proceeds,High
PRJ-2018-035,Indianapolis Apartment Complex - MEP,Turner Construction,LOW,Low Risk / No Clear Driver,0.248,0.529,0.119,0.127,0.043,48,0.217,0.0,0.0,Unrecovered change orders,Rejected COs are 4.3% of original contract,Require tighter approval before extra work proceeds,High
PRJ-2020-175,Baltimore Senior Living - HVAC Upgrade,DPR Construction,LOW,Low Risk / No Clear Driver,0.25,0.535,0.117,0.124,0.034,41,0.159,0.0,0.068,Unrecovered change orders,Rejected COs are 3.4% of original contract,Require tighter approval before extra work proceeds,High
PRJ-2018-002,Louisville Office Park - Core & Shell MEP,JE Dunn,LOW,"Change Order Failure, Coordination Issues",0.25,0.515,0.08,0.079,0.086,93,0.177,0.0,0.038,Unrecovered change orders,Rejected COs are 8.6% of original contract,Require tighter approval before extra work proceeds,High
PRJ-2023-400,Columbus Apartment Complex - MEP,Turner Construction,LOW,Underbilling / Financial Loss,0.257,0.575,0.125,0.135,0.008,46,0.259,0.0,0.103,Scope / estimating,Approved COs are 13.5% of original contract,"Strengthen bid review, scope coverage, and preconstruction",High
PRJ-2018-021,San Antonio Surgery Center - Climate Control,JE Dunn,LOW,Low Risk / No Clear Driver,0.264,0.499,0.097,0.101,0.032,55,0.141,0.0,0.016,Unrecovered change orders,Rejected COs are 3.2% of original contract,Require tighter approval before extra work proceeds,High
PRJ-2021-312,Las Vegas Mixed-Use Tower - Mechanical,JE Dunn,LOW,Low Risk / No Clear Driver,0.268,0.564,0.156,0.177,0.0,43,0.296,0.0,0.041,Billing / collections,Billing gap is 15.6% of adjusted contract,"Accelerate billing, closeout, and collections follow-up",High
PRJ-2022-376,Columbus Regional Medical Center - HVAC Upgrade,DPR Construction,LOW,Low Risk / No Clear Driver,0.269,0.531,0.106,0.111,0.037,50,0.205,0.0,0.062,Unrecovered change orders,Rejected COs are 3.7% of original contract,Require tighter approval before extra work proceeds,High
PRJ-2021-296,Richmond Hospital - Mechanical Systems Renovation,Skanska USA,LOW,Low Risk / No Clear Driver,0.27,0.476,0.106,0.112,0.044,60,0.101,0.0,0.007,Unrecovered change orders,Rejected COs are 4.4% of original contract,Require tighter approval before extra work proceeds,High
PRJ-2018-070,Portland Senior Living - HVAC Upgrade,JE Dunn,LOW,Low Risk / No Clear Driver,0.272,0.5,0.154,0.174,0.024,59,0.205,0.0,0.0,Billing / collections,Billing gap is 15.4% of adjusted contract,"Accelerate billing, closeout, and collections follow-up",High
PRJ-2021-290,Phoenix Mixed-Income Housing - Climate Control,Turner Construction,LOW,Change Order Failure,0.272,0.5,0.11,0.115,0.068,69,0.224,0.0,0.0,Unrecovered change orders,Rejected COs are 6.8% of original contract,Require tighter approval before extra work proceeds,High
PRJ-2020-206,Pittsburgh Medical Campus - New HVAC Installation,Skanska USA,LOW,Low Risk / No Clear Driver,0.272,0.493,0.126,0.136,0.071,57,0.179,0.0,0.0,Unrecovered change orders,Rejected COs are 7.1% of original contract,Require tighter approval before extra work proceeds,High
PRJ-2020-161,Phoenix Regional Medical Center - HVAC Upgrade,JE Dunn,LOW,Change Order Failure,0.273,0.496,0.103,0.107,0.151,98,0.119,0.0,0.035,Unrecovered change orders,Rejected COs are 15.1% of original contract,Require tighter approval before extra work proceeds,High
PRJ-2023-397,Sacramento Corporate Campus - HVAC Systems,Skanska USA,LOW,Low Risk / No Clear Driver,0.277,0.526,0.116,0.125,0.063,46,0.171,0.0,0.034,Unrecovered change orders,Rejected COs are 6.3% of original contract,Require tighter approval before extra work proceeds,High
PRJ-2021-291,Columbus Hospital - Mechanical Systems Renovation,JE Dunn,LOW,Coordination Issues,0.28,0.465,0.086,0.086,0.044,81,0.187,0.0,0.0,Unrecovered change orders,Rejected COs are 4.4% of original contract,Require tighter approval before extra work proceeds,High
PRJ-2018-022,Tampa Office Park - Core & Shell MEP,Turner Construction,LOW,Coordination Issues,0.282,0.507,0.127,0.138,0.036,86,0.142,0.0,0.028,Unrecovered change orders,Rejected COs are 3.6% of original contract,Require tighter approval before extra work proceeds,High
PRJ-2024-001,Mercy General Hospital - HVAC Modernization,Turner Construction,LOW,Coordination Issues,0.284,0.507,0.113,0.119,0.037,88,0.159,0.0,0.031,Unrecovered change orders,Rejected COs are 3.7% of original contract,Require tighter approval before extra work proceeds,High
PRJ-2019-121,Columbus Surgery Center - Climate Control,DPR Construction,LOW,Coordination Issues,0.285,0.55,0.148,0.167,0.08,86,0.178,0.0,0.047,Unrecovered change orders,Rejected COs are 8.0% of original contract,Require tighter approval before extra work proceeds,High
PRJ-2018-069,Boston Colocation Facility - HVAC,Mortenson,LOW,Low Risk / No Clear Driver,0.288,0.518,0.153,0.173,0.0,57,0.172,0.0,0.0,Billing / collections,Billing gap is 15.3% of adjusted contract,"Accelerate billing, closeout, and collections follow-up",High
PRJ-2020-226,Nashville Regional Medical Center - HVAC Upgrade,Turner Construction,LOW,Low Risk / No Clear Driver,0.288,0.479,0.112,0.12,0.035,53,0.085,0.0,0.037,Unrecovered change orders,Rejected COs are 3.5% of original contract,Require tighter approval before extra work proceeds,High
PRJ-2022-356,Denver Surgery Center - Climate Control,DPR Construction,LOW,Low Risk / No Clear Driver,0.29,0.512,0.154,0.174,0.008,55,0.199,0.0,0.002,Billing / collections,Billing gap is 15.4% of adjusted contract,"Accelerate billing, closeout, and collections follow-up",High
PRJ-2018-024,Raleigh Edge Data Center - Thermal Management,JE Dunn,LOW,Low Risk / No Clear Driver,0.291,0.462,0.14,0.154,0.041,51,0.136,0.0,0.0,Unrecovered change orders,Rejected COs are 4.1% of original contract,Require tighter approval before extra work proceeds,High
PRJ-2022-346,Columbus Hospital - Mechanical Systems Renovation,Mortenson,LOW,Coordination Issues,0.3,0.606,0.138,0.152,0.064,100,0.367,0.0,0.04,Unrecovered change orders,Rejected COs are 6.4% of original contract,Require tighter approval before extra work proceeds,High
PRJ-2023-384,Minneapolis Colocation Facility - HVAC,Turner Construction,LOW,Coordination Issues,0.302,0.538,0.151,0.169,0.011,87,0.242,0.0,0.052,Billing / collections,Billing gap is 15.1% of adjusted contract,"Accelerate billing, closeout, and collections follow-up",High
PRJ-2021-251,Raleigh Surgery Center - Climate Control,Skanska USA,LOW,Coordination Issues,0.306,0.564,0.143,0.159,0.021,73,0.195,0.0,0.103,Scope / estimating,Approved COs are 15.9% of original contract,"Strengthen bid review, scope coverage, and preconstruction",High
PRJ-2022-341,Boston Medical Campus - New HVAC Installation,DPR Construction,LOW,Low Risk / No Clear Driver,0.31,0.437,0.101,0.104,0.051,51,0.091,0.0,0.0,Unrecovered change orders,Rejected COs are 5.1% of original contract,Require tighter approval before extra work proceeds,High
PRJ-2021-271,Atlanta Regional Medical Center - HVAC Upgrade,Skanska USA,LOW,Coordination Issues,0.323,0.549,0.135,0.148,0.047,66,0.175,0.0,0.1,Unrecovered change orders,Rejected COs are 4.7% of original contract,Require tighter approval before extra work proceeds,High
PRJ-2018-056,Boston Medical Campus - New HVAC Installation,Skanska USA,LOW,Change Order Failure,0.332,0.52,0.102,0.107,0.093,34,0.115,0.0,0.094,Unrecovered change orders,Rejected COs are 9.3% of original contract,Require tighter approval before extra work proceeds,High
PRJ-2020-166,Portland Medical Campus - New HVAC Installation,Turner Construction,LOW,Low Risk / No Clear Driver,0.337,0.425,0.11,0.116,0.035,57,0.071,0.0,0.0,Unrecovered change orders,Rejected COs are 3.5% of original contract,Require tighter approval before extra work proceeds,High
PRJ-2019-126,Cincinnati Surgery Center - Climate Control,DPR Construction,LOW,Coordination Issues,0.358,0.548,0.199,0.24,0.009,95,0.152,0.0,0.094,Billing / collections,Billing gap is 19.9% of adjusted contract,"Accelerate billing, closeout, and collections follow-up",High
PRJ-2021-306,Raleigh Regional Medical Center - HVAC Upgrade,Turner Construction,LOW,Low Risk / No Clear Driver,0.371,0.471,0.169,0.195,0.0,37,0.109,0.0,0.06,Billing / collections,Billing gap is 16.9% of adjusted contract,"Accelerate billing, closeout, and collections follow-up",High
PRJ-2019-143,Indianapolis Middle School - HVAC Systems,JE Dunn,HIGH,Underbilling / Financial Loss,-0.265,0.932,0.08,0.079,0.02,47,1.08,0.257,0.0,Margin erosion / review,Realized margin is -26.5%,Do full project review to isolate cost and recovery issues,Moderate
PRJ-2019-122,Denver Office Park - Core & Shell MEP,Mortenson,HIGH,Underbilling / Financial Loss,-0.172,0.783,0.002,0.0,0.027,15,0.75,0.0,0.0,Margin erosion / review,Realized margin is -17.2%,Do full project review to isolate cost and recovery issues,Moderate
PRJ-2018-053,Las Vegas High School - New Construction,Mortenson,HIGH,Underbilling / Financial Loss,-0.101,0.909,0.086,0.087,0.0,44,0.99,0.148,0.036,Margin erosion / review,Realized margin is -10.1%,Do full project review to isolate cost and recovery issues,Moderate
PRJ-2018-049,San Antonio Data Center - Precision Cooling Systems,Skanska USA,MEDIUM,Underbilling / Financial Loss,-0.077,0.844,0.084,0.083,0.007,50,0.848,0.004,0.023,Margin erosion / review,Realized margin is -7.7%,Do full project review to isolate cost and recovery issues,Moderate
PRJ-2021-268,Raleigh Unified School District - HVAC Modernization,Mortenson,MEDIUM,Underbilling / Financial Loss,-0.066,0.865,0.032,0.025,0.002,31,0.851,0.016,0.07,Margin erosion / review,Realized margin is -6.6%,Do full project review to isolate cost and recovery issues,Moderate
PRJ-2020-233,Kansas City Middle School - HVAC Systems,Skanska USA,MEDIUM,Underbilling / Financial Loss,-0.047,0.82,0.068,0.066,0.01,45,0.766,0.0,0.057,Margin erosion / review,Realized margin is -4.7%,Do full project review to isolate cost and recovery issues,Moderate
PRJ-2019-110,Las Vegas Senior Living - HVAC Upgrade,DPR Construction,MEDIUM,Underbilling / Financial Loss,-0.046,0.815,0.058,0.054,0.021,24,0.656,0.0,0.089,Margin erosion / review,Realized margin is -4.6%,Do full project review to isolate cost and recovery issues,Moderate
PRJ-2022-326,Kansas City Hospital - Mechanical Systems Renovation,Turner Construction,MEDIUM,Underbilling / Financial Loss,-0.024,0.769,0.062,0.058,0.0,42,0.719,0.0,0.023,Margin erosion / review,Realized margin is -2.4%,Do full project review to isolate cost and recovery issues,Moderate
PRJ-2020-197,Chicago Corporate Campus - HVAC Systems,JE Dunn,MEDIUM,Underbilling / Financial Loss,-0.021,0.824,0.089,0.089,0.0,50,0.85,0.002,0.004,Margin erosion / review,Realized margin is -2.1%,Do full project review to isolate cost and recovery issues,Moderate
